Category,subcatLong,meanPrice,medianPrice
Luxury,Luxury Accessories,797.61025,250
Luxury,Luxury Apparel,300.9913,180
Luxury,Luxury Bags & Wallets,4088.763,1200
Luxury,Luxury Sneakers & Footwear,466.5,380
Men's Fashion,Men's Fashion Activewear,38.99995,25
Men's Fashion,Men's Fashion Bags,122.8375,50
Men's Fashion,Men's Fashion Bottoms,45.53145,25
Men's Fashion,"Men's Fashion Coats, Jackets and Outerwear",122.8785,45
Men's Fashion,Men's Fashion Footwear,203.913,154.5
Men's Fashion,Men's Fashion Muslim Wear,113.53755,22.5
Men's Fashion,Men's Fashion Tops & Sets,77.1865,30
Men's Fashion,Men's Fashion Watches & Accessories,1206.34745,80
Women's Fashion,Women's Fashion Activewear,33.26295,27
Women's Fashion,Women's Fashion Bags & Wallets,470.24955,120
Women's Fashion,Women's Fashion Bottoms,19.389,15
Women's Fashion,"Women's Fashion Coats, Jackets and Outerwear",49.9165,25
Women's Fashion,Women's Fashion Dresses & Sets,29.6275,20
Women's Fashion,Women's Fashion Footwear,103.9215,45
Women's Fashion,Women's Fashion Jewelry & Organisers,823.05385,78.5
Women's Fashion,Women's Fashion Maternity wear,21.0205,15
Women's Fashion,Women's Fashion Muslimah Fashion,26.51945,17.5
Women's Fashion,Women's Fashion New Undergarments & Loungewear,15.2112,10
Women's Fashion,Women's Fashion Swimwear,21.58,15
Women's Fashion,Women's Fashion Tops,16.203,10
Women's Fashion,Women's Fashion Watches & Accessories,118.87965,20
